    0.293618699929420815E-01    0.167778391437035079E+01   -0.966632990672080306E+00    0.559869873017439022E+04    0.347911253307109155E+04   -0.842864865680782560E+17   -0.599146350544150419E+01    1
    0.614405644312938926E-01    0.162525943795198580E+01   -0.834653593401157967E+00    0.471192518534629653E+04    0.335443960497593434E+04   -0.656578708439516400E+16   -0.599396350544151169E+01    1
    0.466413206640146627E-01    0.167232219312768970E+01   -0.829310856859339030E+00    0.520840703474062138E+04    0.258618015525859073E+04   -0.551621821986334000E+16   -0.599646350544151474E+01    1
    0.326240022519418832E-01    0.152475809397728446E+01   -0.993492911758846797E+00    0.535473758190034641E+04    0.377848257694327958E+04   -0.460491586100420000E+16   -0.599896350544151957E+01    1
    0.657562854949691189E-01    0.167537574945181045E+01   -0.939572445034127846E+00    0.197580249641029400E+04    0.270740543209143425E+04   -0.420142840041870000E+16   -0.600146350544151552E+01    1
    0.566561060460789440E-01    0.159697247088918726E+01   -0.806867093061926943E+00    0.527580979229146487E+04    0.376916578179907856E+04   -0.397065546997665800E+16   -0.600396350544151858E+01    1
    0.112582299314478662E+00    0.159570454088754188E+01   -0.914110047176404539E+00    0.475925675400068121E+04    0.116988594661271554E+04   -0.126951578981945950E+16   -0.600646350544151630E+01    1
    0.108320917724651508E+00    0.160936671217641925E+01   -0.358306182625284242E+00    0.321705028481018144E+04    0.372775049323350686E+04   -0.851108022231307250E+15   -0.600896350544152469E+01    1
    0.469291434925980036E-01    0.164868908044484375E+01   -0.788840560848655059E+00    0.418864238964730612E+04    0.233658206025373784E+04   -0.763919566162474750E+15   -0.601146350544151886E+01    1
    0.887192991488823246E-01    0.157182966953560799E+01   -0.592317801440629330E-01    0.460585261856546185E+04    0.358528810308551556E+04   -0.379783861621048562E+15   -0.601396350544150859E+01    1
    0.101652032869137113E+00    0.150773996756468387E+01   -0.389706744909671166E+00    0.710774214164431214E+04    0.338174881561544953E+04   -0.378392827873719125E+15   -0.601646350544151520E+01    1
    0.106415447428150234E+00    0.154327889284717079E+01   -0.583960593730792565E+00    0.601061307066913196E+04    0.258371123709232143E+04   -0.347751721717084375E+15   -0.601896350544151559E+01    1
    0.798602892749358806E-01    0.162443042221731337E+01   -0.394493533900011517E+00    0.703872045174143477E+04    0.223469059795758176E+04   -0.322818409517229375E+15   -0.602146350544152753E+01    1
    0.938122375034880218E-01    0.165152072396077187E+01   -0.172119481921923667E+00    0.666358261803863388E+04    0.207650896386133627E+04   -0.310626769031266000E+15   -0.602396350544153325E+01    1
